IdObjeto,Nombre
1,Omnipoción
2,Chalé
3,Brazal de Energía
4,Cadena de fuerza
5,Pulsera Mágica
6,Arete de EXP
7,Omniéter
8,Aro Ingenioso
9,Brazal de ángel
10,Cadena de guerra
11,Pulsera rúnica
12,Blasón moguri
13,PH +1
14,Anillo oscuro
15,Aro maestro
16,Brazal de Gaia
17,Cadena de héroe
18,Mitrilo
19,Elixir
20,Defensa +1
21,Salvacorazones
22,Tres estrellas
23,Pulsera de poder
24,Omnielixir
25,Fuerza +1
26,Arte cósmica
27,Brazal de EXP
28,Cinta
29,Vara de fantasía
30,Siete elementos
31,Arma artema
